"filename", "language", "Vue", "HTML", "SCSS", "JSON with Comments", "TypeScript", "Markdown", "JavaScript", "CSS", "JSON", "YAML", "comment", "blank", "total"
"/Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/README.md", "Markdown", 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 7, 18
"/Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/app.vue", "Vue", 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 18
"/Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/assets/css/main.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 61, 0, 0, 1, 7, 69
"/Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/assets/emails/new_user.html", "HTML", 0, 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 43
"/Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/assets/js/uikit.min.js", "JavaScript", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 2
"/Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/assets/scss/lib/instello.scss", "SCSS", 0, 0, 831, 0, 0, 0, 0, 0, 0, 0, 129, 57, 1017
"/Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/assets/scss/lib/square.scss", "SCSS", 0, 0, 105, 0, 0, 0, 0, 0, 0, 0, 3, 23, 131
"/Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/assets/scss/lib/tailwind.scss", "SCSS", 0, 0, 5576, 0, 0, 0, 0, 0, 0, 0, 182, 1468, 7226
"/Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/assets/scss/variables.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/assets/style/main.scss", "SCSS", 0, 0, 74, 0, 0, 0, 0, 0, 0, 0, 7, 15, 96
"/Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/components/account/EditAddress.vue", "Vue", 1686, 0, 0, 0, 0, 0, 0, 0, 0, 0, 56, 51, 1793
"/Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/components/account/EditPersonal.vue", "Vue", 89, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 92
"/Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/components/account/Orders.vue", "Vue", 66, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 7, 85
"/Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/components/account/PaymentMethods.vue", "Vue", 355, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 49, 436
"/Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/components/chat-2/app.vue", "Vue", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 11
"/Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/components/chat-2/comp/bubble.vue", "Vue", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/components/chat-2/comp/launcher.vue", "Vue", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 16
"/Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/components/chat-2/comp/messenger.vue", "Vue", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
"/Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/components/chat/app-legacy.vue", "Vue", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 11
"/Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/components/chat/app.vue", "Vue", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 11
"/Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/components/chat/comp/bubble-legacy.vue", "Vue", 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 7, 48
"/Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/components/chat/comp/bubble.vue", "Vue", 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 7, 48
"/Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/components/chat/comp/launcher.vue", "Vue", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 16
"/Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/components/chat/comp/messenger-legacy.vue", "Vue", 127, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 15, 151
"/Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/components/chat/comp/messenger.vue", "Vue", 131, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 22, 162
"/Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/components/common/AppBar.vue", "Vue", 126, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 10, 145
"/Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/components/common/FriendCard.vue", "Vue", 111, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 17, 153
"/Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/components/common/comment_thread.vue", "Vue", 192, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 51, 267
"/Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/components/common/icons/customSvgs.js", "JavaScript", 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 2, 12
"/Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/components/common/icons/medium.vue", "Vue", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 23
"/Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/components/common/reactions.vue", "Vue", 116, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 16, 139
"/Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/components/dashboard/MemberCard.vue", "Vue", 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 5, 57
"/Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/components/products/CartCard.vue", "Vue", 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 64
"/Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/components/products/ProductCard.vue", "Vue", 106, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 15, 128
"/Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/components/template/Nav.vue", "Vue", 399, 0, 0, 0, 0, 0, 0, 0, 0, 0, 69, 61, 529
"/Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/components/template/components/friend-requests/friend_request.vue", "Vue", 106, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 17, 132
"/Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/components/template/components/search/Modal.vue", "Vue", 176, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 25, 213
"/Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/components/template/components/search/SearchMemberResult.vue", "Vue", 115, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 20, 163
"/Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/composables/custom_fetch.ts", "TypeScript", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 1, 8
"/Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/directives/tooltip.ts", "TypeScript", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 2, 6
"/Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/hooks/fetch.ts", "TypeScript", 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 4, 15
"/Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/layouts/default.vue", "Vue", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 10
"/Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/layouts/inner.vue", "Vue", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 11
"/Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/layouts/inner_legacy.vue", "Vue", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 11
